URL,Project Name,Short Description,Why It's Relevant
https://github.com/github/spec-kit,GitHub Spec Kit,"SDD framework (~122k star); commands namespaced /speckit.*, 9-category ambiguity taxonomy, constitution-check gates, /analyze + /converge linters","Tier-1 for jim:spec & jim:plan -- ambiguity taxonomy, two-pass constitution gate, cross-artifact linting jim lacks"
https://github.com/Fission-AI/OpenSpec,OpenSpec,"SDD framework (61k star); canonical-spec vs delta-change separation, WHEN/THEN scenario templates, declarative artifact dependency graph","Tier-1 for jim:spec/plan -- delta-vs-canonical spec lifecycle addresses jim's biggest structural gap (post-ship amendment)"
https://kiro.dev/docs/specs,Amazon Kiro,"GA spec tool; EARS notation (WHEN...THE SYSTEM SHALL...), non-regression clause, four context-inclusion steering modes","Tier-1 for jim:spec -- testable-AC grammar; jim's ACs are free-prose"
https://github.com/open-gsd/gsd-core,GSD (gsd-core),"Get-Shit-Done successor (6.8k star, v1.7.0); plan-critique loop, task-count split heuristic, dependency-wave parallelism, SPIDR splitting, conversational UAT","Tier-1 for jim:plan/build/research -- automated plan QA, parallel-wave grammar, cheap-iteration flags; refreshes stale GSD citation"
https://github.com/obra/superpowers,obra/superpowers,"Skill collection (256k star); writing-skills bible, brainstorming gate, subagent-driven-development, verification-before-completion, systematic-debugging, TDD","Tier-1 across brainstorm/plan/build/meta -- richest single source; the skill-authoring bible and battle-tested workflow skills"
https://github.com/mattpocock/skills,Matt Pocock skills,"Skill collection (175k star); grilling interview primitive, tdd 'seam' vocabulary, writing-great-skills, research primary-sources-only","Tier-1 for spec/build/meta/research -- high-craft authoring + interview and TDD discipline"
https://github.com/addyosmani/agent-skills,Addy Osmani agent-skills,"Skill collection (78k star); interview-me, Always/Ask-first/Never boundaries, numeric task-sizing, doubt-driven-development, security-and-hardening, code-review-and-quality","Tier-1 across spec/plan/build/sec/meta -- anti-rationalization tables, LLM-threat framing, near-complete jim:review blueprint"
https://github.com/marcusgoll/Spec-Flow,Spec-Flow,"SDD pipeline; temperature-varied 3-agent voting, disk-based worker state, unified /gate ci|sec, /validate consistency pass","Tier-2 for build/sec -- ensemble voting and hard-fail gate composition"
https://github.com/gotalab/cc-sdd,cc-sdd,"v3.0 rework (~3.6k star); Agent Skills primary, autonomous kiro-impl, EARS ACs, Boundary Context, pre/postcondition contracts, requirements traceability","Tier-2 for spec/plan/build -- behavioral contracts, boundary-first spec/design split, parallel-wave task grammar"
https://github.com/deanpeters/Product-Manager-Skills,Product-Manager-Skills,"PM skills; 7 named authoring anti-patterns, inline gap-tagging, 8-phase PRD, 'explanation is load-bearing'","Tier-1 spec + meta -- authoring rubric and heavier PRD mode"
